pl_name,discoverymethod,disc_year,disc_facility,pl_bmasse,ra,dec,sy_dist
HAT-P-63 b,Transit,2021,HATNet,195.14664,279.7967696,-20.0242684,4483.05
KMT-2016-BLG-0212L b,Microlensing,2018,KMTNet,5700.0,268.43925,-29.0868889,6300.0
KMT-2016-BLG-1107L b,Microlensing,2019,KMTNet,1043.0,266.41775,-26.0318,6651.0
KMT-2016-BLG-1397L b,Microlensing,2018,KMTNet,2200.0,272.664612,-24.8577385,6600.0
KMT-2016-BLG-1820L b,Microlensing,2018,KMTNet,1450.0,268.76474,-29.5169201,6260.0
KMT-2016-BLG-1836L b,Microlensing,2019,KMTNet,700.0,268.250333,-30.04075,7100.0
KMT-2016-BLG-2142L b,Microlensing,2018,KMTNet,4923.0,268.112,-29.3845615,7010.0
KMT-2016-BLG-2364L b,Microlensing,2020,KMTNet,1250.0,265.715667,-27.4355611,6440.0
KMT-2016-BLG-2397L b,Microlensing,2020,KMTNet,836.0,266.212542,-23.2013806,4880.0
KMT-2016-BLG-2605L b,Microlensing,2021,KMTNet,245.0457,269.8230833,-26.982,6421.0
KMT-2017-BLG-0165L b,Microlensing,2018,KMTNet,34.0,269.6496667,-28.1336694,4530.0
KMT-2017-BLG-0673L b,Microlensing,2022,KMTNet,1166.43025,264.7570417,-33.8080278,5080.0
KMT-2017-BLG-1038L b,Microlensing,2019,KMTNet,640.0,266.170917,-25.1430306,6000.0
KMT-2017-BLG-1146L b,Microlensing,2019,KMTNet,230.0,269.105833,-33.1424694,6500.0
KMT-2017-BLG-2509L b,Microlensing,2021,KMTNet,664.26137,265.589875,-26.31715,7040.0
KMT-2018-BLG-0029L b,Microlensing,2020,KMTNet,7.59,264.469458,-27.9847,3380.0
KMT-2018-BLG-0748L b,Microlensing,2020,KMTNet,60.0,267.8745,-30.6463889,7300.0
KMT-2018-BLG-1025L b,Microlensing,2021,KMTNet,6.059,269.8664167,-27.8780611,6705.0
KMT-2018-BLG-1292L b,Microlensing,2020,KMTNet,1400.0,263.427583,-33.5206694,3460.0
KMT-2018-BLG-1743L b,Microlensing,2021,KMTNet,77.86796,274.283375,-26.3596389,6483.0
KMT-2018-BLG-1976L b,Microlensing,2021,KMTNet,705.57906,266.3546667,-35.7003306,5840.0
KMT-2018-BLG-1988L b,Microlensing,2022,KMTNet,5.56,265.2825417,-35.5947,4150.0
KMT-2018-BLG-1996L b,Microlensing,2021,KMTNet,346.43296,268.6785,-22.8204111,5910.0
KMT-2019-BLG-0371L b,Microlensing,2021,KMTNet,2447.27873,268.3839167,-31.5550222,7010.0
KMT-2019-BLG-0414L b,Microlensing,2022,KMTNet,1452.47582,268.8529167,-21.8955389,4410.0
KMT-2019-BLG-0842L b,Microlensing,2020,KMTNet,10.28,268.458458,-29.8774389,3320.0
KMT-2019-BLG-1339L b,Microlensing,2020,KMTNet,397.0,265.743417,-25.5739167,6120.0
KMT-2019-BLG-1715L b,Microlensing,2021,KMTNet,813.64072,270.3717083,-28.7771389,3860.0
KMT-2019-BLG-1953L b,Microlensing,2020,KMTNet,200.0,269.11625,-28.2011111,7040.0
KMT-2021-BLG-0119L b,Microlensing,2022,KMTNet,1754.41281,274.0005417,-29.7438889,3130.0
KMT-2021-BLG-0171L b,Microlensing,2022,KMTNet,11.2,269.2416667,-30.0930556,4600.0
KMT-2021-BLG-0192L b,Microlensing,2022,KMTNet,34.96112,268.1049583,-30.0086889,5120.0
KMT-2021-BLG-0240L b,Microlensing,2022,KMTNet,66.74397,267.5772917,-30.0049694,6600.0
KMT-2021-BLG-0320L b,Microlensing,2022,KMTNet,31.78284,269.388125,-30.5039389,6950.0
KMT-2021-BLG-0322L b,Microlensing,2021,KMTNet,2034.1018,270.9116667,-29.6043889,6600.0
KMT-2021-BLG-0912L b,Microlensing,2022,KMTNet,2.81,269.8211667,-31.9976389,5560.0
KMT-2021-BLG-1303L b,Microlensing,2022,KMTNet,120.77479,271.863875,-29.2815806,6280.0
KMT-2021-BLG-1554L b,Microlensing,2022,KMTNet,38.13941,267.8034167,-31.8643611,7680.0
KMT-2021-BLG-1689L b,Microlensing,2022,KMTNet,46.0,269.5791667,-30.1452778,7200.0
KMT-2021-BLG-1898L b,Microlensing,2022,KMTNet,232.01474,265.691875,-27.3758389,6900.0
KMT-2021-BLG-2294L b,Microlensing,2022,KMTNet,22.24799,270.0624167,-28.6124389,6800.0
Kepler-747 b,Transit,2016,Kepler,,288.4165196,41.0298175,3347.16
Kepler-917 b,Transit,2016,Kepler,,299.0512562,47.9492677,3460.51
MOA-2007-BLG-400L b,Microlensing,2008,MOA,260.0,272.424917,-29.2241528,5800.0
MOA-2008-BLG-310L b,Microlensing,2009,MOA,23.4,268.560542,-34.7780528,7700.0
MOA-2008-BLG-379L b,Microlensing,2013,MOA,1300.0,269.706,-30.1969306,3300.0
MOA-2009-BLG-266L b,Microlensing,2011,MOA,10.4,267.008125,-35.0054111,3040.0
MOA-2009-BLG-319L b,Microlensing,2010,MOA,67.3,271.742208,-26.8196917,7050.0
MOA-2009-BLG-387L b,Microlensing,2010,MOA,830.0,268.461625,-33.9903333,5690.0
MOA-2010-BLG-117L b,Microlensing,2018,MOA,170.0,271.95697,-25.3446388,3500.0
MOA-2010-BLG-353L b,Microlensing,2015,MOA,86.0,271.303917,-27.2932333,6430.0
MOA-2011-BLG-028L b,Microlensing,2016,MOA,30.0,270.854,-29.2134167,7380.0
MOA-2011-BLG-262L b,Microlensing,2014,MOA,17.0,270.097833,-31.2452583,7200.0
MOA-2011-BLG-291L b,Microlensing,2018,MOA,18.0,268.867889,-29.1706657,4400.0
MOA-2011-BLG-293L b,Microlensing,2012,MOA,1500.0,268.913958,-28.4768472,7720.0
MOA-2011-BLG-322L b,Microlensing,2013,MOA,3690.0,271.223333,-27.2209444,7560.0
MOA-2012-BLG-006L b,Microlensing,2017,Multiple Observatories,2700.0,270.442963,-29.108778,5300.0
MOA-2012-BLG-505L b,Microlensing,2017,MOA,6.7,268.143097,-32.0400925,7210.0
MOA-2013-BLG-220L b,Microlensing,2014,MOA,871.0,270.985417,-29.5447222,6720.0
MOA-2015-BLG-337L b,Microlensing,2018,MOA,33.7,271.9487,-28.1702785,7100.0
MOA-2016-BLG-227L b,Microlensing,2017,MOA,890.0,271.473755,-27.7142868,6500.0
MOA-2016-BLG-319L b,Microlensing,2018,MOA,200.0,268.742218,-29.7504635,6800.0
MOA-bin-1L b,Microlensing,2012,MOA,1200.0,261.7925,-29.7939722,5100.0
MOA-bin-29 b,Microlensing,2019,MOA,190.0,269.3759583,-29.7365639,7120.0
OGLE-2003-BLG-235L b,Microlensing,2004,OGLE,830.0,271.318125,-28.895,5800.0
OGLE-2005-BLG-071L b,Microlensing,2005,OGLE,1200.0,267.540708,-34.6731944,3200.0
OGLE-2005-BLG-169L b,Microlensing,2006,OGLE,14.1,271.522167,-30.7326389,4100.0
OGLE-2005-BLG-390L b,Microlensing,2005,OGLE,5.5,268.579958,-30.3773056,6600.0
OGLE-2007-BLG-368L b,Microlensing,2009,OGLE,20.0,269.108167,-32.2374167,5900.0
OGLE-2008-BLG-092L b,Microlensing,2014,OGLE,57.0,267.540708,-34.6731944,8100.0
OGLE-2008-BLG-355L b,Microlensing,2014,OGLE,1500.0,269.786708,-30.7594722,6800.0
OGLE-2011-BLG-0173L b,Microlensing,2018,OGLE,60.0,269.315735,-28.2338619,6100.0
OGLE-2011-BLG-0265L b,Microlensing,2015,OGLE,280.0,269.448833,-27.3945278,4380.0
OGLE-2012-BLG-0026L b,Microlensing,2012,OGLE,46.1,263.577917,-27.14275,4019.0
OGLE-2012-BLG-0026L c,Microlensing,2012,OGLE,270.0,263.577917,-27.14275,4019.0
OGLE-2012-BLG-0406L b,Microlensing,2013,OGLE,868.0,268.325708,-30.4711667,4970.0
OGLE-2012-BLG-0724L b,Microlensing,2016,OGLE,150.0,268.9682917,-29.8185278,6700.0
OGLE-2012-BLG-0838L b,Microlensing,2020,OGLE,53.1,273.003083,-25.7116111,6320.0
OGLE-2013-BLG-0102L b,Microlensing,2014,OGLE,4100.0,268.0295,-31.6905833,3040.0
OGLE-2013-BLG-0132L b,Microlensing,2017,OGLE,92.0,269.764618,-28.4210281,3900.0
OGLE-2013-BLG-0911L b,Microlensing,2019,OGLE,3020.0,268.88325,-29.2538333,3220.0
OGLE-2013-BLG-1721L b,Microlensing,2017,OGLE,200.0,268.126556,-30.2926941,6300.0
OGLE-2013-BLG-1761L b,Microlensing,2018,OGLE,860.0,268.409485,-28.8952713,6900.0
OGLE-2014-BLG-0124L b,Microlensing,2015,OGLE,160.0,270.621708,-28.39625,4100.0
OGLE-2014-BLG-0319L b,Microlensing,2022,OGLE,181.16219,266.9611667,-33.9350444,7730.0
OGLE-2014-BLG-1722L b,Microlensing,2018,OGLE,55.3,268.75238,-31.4690552,6400.0
OGLE-2014-BLG-1722L c,Microlensing,2018,OGLE,83.7,268.75238,-31.4690552,6400.0
OGLE-2014-BLG-1760L b,Microlensing,2016,OGLE,180.0,269.408997,-28.9631577,6860.0
OGLE-2015-BLG-0051L b,Microlensing,2016,OGLE,230.0,269.662537,-28.0316944,8200.0
OGLE-2015-BLG-0966L b,Microlensing,2016,OGLE,21.0,268.75425,-29.0471111,3300.0
OGLE-2015-BLG-1649L b,Microlensing,2019,OGLE,807.0,271.2050417,-32.6330278,4230.0
OGLE-2015-BLG-1670L b,Microlensing,2019,OGLE,17.9,268.1587917,-28.5519167,6700.0
OGLE-2015-BLG-1771L b,Microlensing,2020,OGLE,138.0,268.799,-28.86275,7070.0
OGLE-2016-BLG-0263L b,Microlensing,2017,OGLE,1300.0,269.895416,-31.8186111,6500.0
OGLE-2016-BLG-0613L AB b,Microlensing,2017,OGLE,1330.0,269.260406,-28.1161671,3410.0
OGLE-2016-BLG-1067L b,Microlensing,2019,OGLE,140.0,273.2045,-27.0126389,3730.0
OGLE-2016-BLG-1190L b,Microlensing,2017,OGLE,4253.0,269.717926,-27.6135559,6770.0
OGLE-2016-BLG-1195L b,Microlensing,2017,OGLE,1.43,268.847931,-30.2072506,3910.0
OGLE-2017-BLG-0173L b,Microlensing,2018,OGLE,3.269,267.970612,-29.2713604,4705.0
OGLE-2017-BLG-0373L b,Microlensing,2018,OGLE,127.0,269.3294067,-31.9517231,5915.0
OGLE-2017-BLG-0406L b,Microlensing,2020,OGLE,130.0,268.999667,-29.8631389,5200.0
OGLE-2017-BLG-0482L b,Microlensing,2018,OGLE,9.0,269.048889,-30.5283604,5800.0
OGLE-2017-BLG-0604L b,Microlensing,2020,OGLE,160.0,267.891667,-30.9465556,3950.0
OGLE-2017-BLG-1049L b,Microlensing,2020,OGLE,1760.0,269.533542,-27.1442222,5670.0
OGLE-2017-BLG-1099L b,Microlensing,2021,OGLE,959.84179,263.96425,-29.5858611,7250.0
OGLE-2017-BLG-1375L b,Microlensing,2020,OGLE,3585.0,269.154875,-30.3114167,3930.0
OGLE-2017-BLG-1522L b,Microlensing,2018,OGLE,240.0,270.319366,-28.4619713,7490.0
OGLE-2017-BLG-1691L b,Microlensing,2022,OGLE,14.62011,263.5938333,-29.2848306,7290.0
OGLE-2018-BLG-0383L b,Microlensing,2022,OGLE,6.4,268.68075,-28.7392778,7700.0
OGLE-2018-BLG-0567L b,Microlensing,2021,OGLE,101.70509,269.0184167,-27.9871111,7060.0
OGLE-2018-BLG-0596L b,Microlensing,2019,OGLE,13.93,269.0555417,-29.1990833,5650.0
OGLE-2018-BLG-0677L b,Microlensing,2020,OGLE,3.96,268.751125,-32.0165306,7580.0
OGLE-2018-BLG-0740L b,Microlensing,2019,OGLE,1500.0,272.1769583,-29.8358056,3200.0
OGLE-2018-BLG-0962L b,Microlensing,2021,OGLE,425.89007,268.1747917,-32.30925,6500.0
OGLE-2018-BLG-1011L b,Microlensing,2019,OGLE,570.0,269.014,-29.0828889,7100.0
OGLE-2018-BLG-1011L c,Microlensing,2019,OGLE,890.0,269.014,-29.0828889,7100.0
OGLE-2018-BLG-1185L b,Microlensing,2021,OGLE,8.4,269.79275,-27.8350833,7400.0
OGLE-2018-BLG-1428L b,Microlensing,2021,OGLE,240.0,265.548708,-26.1378889,6220.0
OGLE-2018-BLG-1700L b,Microlensing,2020,OGLE,1400.0,269.956042,-28.5286389,7600.0
OGLE-2019-BLG-0299L b,Microlensing,2021,OGLE,1976.89269,266.6794583,-23.5843111,5830.0
OGLE-2019-BLG-0304L b,Microlensing,2021,OGLE,162.09249,264.0267083,-26.1459889,6980.0
OGLE-2019-BLG-0362L b,Microlensing,2022,OGLE,1036.12061,263.46525,-24.8103611,5830.0
OGLE-2019-BLG-0954L b,Microlensing,2021,OGLE,4513.16338,267.91325,-29.611,3630.0
OGLE-2019-BLG-1470L AB c,Microlensing,2022,OGLE,699.2225,271.9492083,-27.0335556,5900.0
UKIRT-2017-BLG-001L b,Microlensing,2018,Mauna Kea Observatory,407.0,266.654083,-29.2113609,6300.0
