pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,ra,dec
TOI-1516 b,TOI-1516,1,1,Transit,2022,247.0540000,2.05601400,,15.244,1004.33777,,,,F8 V,6520.00,1.14,1.14,340.0846204,69.5037313
TOI-157 b,TOI-157,1,1,Transit,2020,355.6830000,2.08454350,0.031380,14.415,375.03940,0.000000,1062.00,1588,G9 IV,5404.00,1.17,0.95,73.7014398,-76.6806061
TOI-1601 b,TOI-1601,1,1,Transit,2021,336.6080000,5.33175100,0.068640,13.888,314.65170,0.036000,,1619,,5948.00,2.19,1.52,38.3615690,41.0134321
TOI-163 b,TOI-163,1,1,Transit,2019,411.7190000,4.23130600,0.058000,16.690,387.75260,0.000000,,1669,F,6495.00,1.65,1.44,79.7682532,-71.8955269
TOI-1634 b,TOI-1634,2,1,Transit,2021,35.2736000,0.98934300,0.015450,1.790,4.91000,0.160000,121.00,924,M2,3550.00,0.45,0.50,56.3906096,37.1122803
TOI-1670 b,TOI-1670,1,2,Transit,2022,168.0670000,10.98462000,0.103000,2.060,41.31769,0.590000,,1062,F7 V,6170.00,1.32,1.21,259.0172522,72.1611806
TOI-1670 c,TOI-1670,1,2,Transit,2022,168.0670000,40.74976000,0.249000,11.063,200.23190,0.090000,,684,F7 V,6170.00,1.32,1.21,259.0172522,72.1611806
TOI-1685 b,TOI-1685,1,1,Transit,2021,37.6153000,0.66914030,,1.700,3.78000,,217.00,1069,M3.0 V,3434.00,0.49,0.49,68.5939529,43.0370395
TOI-169 b,TOI-169,1,1,Transit,2020,407.8400000,2.25544770,0.035240,12.173,251.40353,0.000000,1443.00,1715,G1 V,5880.00,1.29,1.15,16.7786879,-75.1989452
TOI-1693 b,TOI-1693,1,1,Transit,2022,30.7947000,1.76669570,0.022600,1.410,,,,764,,3499.00,0.46,0.49,90.3083455,34.7730904
TOI-1695 b,TOI-1695,1,1,Transit,2022,45.1309000,3.13427900,,2.030,5.50000,0.000000,27.00,590,,3650.00,0.53,0.54,21.9217346,72.2966148
TOI-1696 b,TOI-1696,1,1,Transit,2022,64.9172000,2.50031100,0.022900,3.090,48.80000,,,489,M5V,3185.00,0.28,0.26,65.2806480,48.8198312
TOI-1710 b,TOI-1710,1,1,Transit,2022,81.2271000,24.28342900,0.160000,5.340,28.30000,0.160000,,,G5 V,5665.00,0.97,0.98,94.2838373,76.2110200
TOI-172 b,TOI-172,1,1,Transit,2019,342.8310000,9.47725000,0.091400,10.817,1722.63860,0.380600,299.00,1198,,5645.00,1.78,1.13,316.6318791,-26.6928654
TOI-1728 b,TOI-1728,1,1,Transit,2020,60.7980000,3.49151000,0.039100,5.050,26.78000,0.057000,57.78,767,M0,3980.00,0.62,0.65,120.6116787,64.7971531
TOI-1749 b,TOI-1749,1,3,Transit,2021,99.5561000,2.38839000,0.029100,1.390,57.00000,0.140000,,831,M0 V,3985.00,0.55,0.58,282.7372281,64.4194660
TOI-1749 c,TOI-1749,1,3,Transit,2021,99.5561000,4.49290000,0.044300,2.120,14.00000,0.019000,,673,M0 V,3985.00,0.55,0.58,282.7372281,64.4194660
TOI-1749 d,TOI-1749,1,3,Transit,2021,99.5561000,9.04970000,0.070700,2.520,15.00000,0.062000,,533,M0 V,3985.00,0.55,0.58,282.7372281,64.4194660
TOI-1759 b,TOI-1759,1,1,Transit,2022,40.0654000,18.85019000,0.117700,3.140,10.80000,0.000000,6.39,443,M0.0 V,4065.00,0.60,0.61,326.8516615,62.7538164
TOI-178 b,TOI-178,1,6,Transit,2021,62.6990000,1.91455800,0.026070,1.152,1.50000,,,1040,K,4316.00,0.65,0.65,7.3020115,-30.4541159
TOI-178 c,TOI-178,1,6,Transit,2021,62.6990000,3.23845000,0.037000,1.669,4.77000,,,873,K,4316.00,0.65,0.65,7.3020115,-30.4541159
TOI-178 d,TOI-178,1,6,Transit,2021,62.6990000,6.55770000,0.059200,2.572,3.01000,,,690,K,4316.00,0.65,0.65,7.3020115,-30.4541159
TOI-178 e,TOI-178,1,6,Transit,2021,62.6990000,9.96188100,0.078300,2.207,3.86000,,,600,K,4316.00,0.65,0.65,7.3020115,-30.4541159
TOI-178 g,TOI-178,1,6,Transit,2021,62.6990000,20.70950000,0.127500,2.870,3.94000,,,470,K,4316.00,0.65,0.65,7.3020115,-30.4541159
TOI-1789 b,TOI-1789,1,1,Transit,2021,229.0670000,3.20866400,0.048820,16.141,222.47988,,2300.00,1927,F,5991.00,2.17,1.51,142.7434060,26.5399951
TOI-1807 b,TOI-1807,1,1,Transit,2021,42.5775000,0.54937200,0.008120,1.258,,,,2100,,4757.00,0.68,0.75,201.2826259,38.9223671
TOI-1820 b,TOI-1820,1,1,Transit,2022,248.5040000,4.86067400,0.061000,12.778,731.00534,0.043000,,1375,,5734.00,1.51,1.04,187.6867207,27.4520016
TOI-1842 b,TOI-1842,1,1,Transit,2021,223.4650000,9.57390000,0.100100,11.657,68.01528,,,,,6230.00,2.02,1.46,201.9626552,9.0306437
TOI-1860 b,TOI-1860,1,1,Transit,2022,45.8640000,1.06621070,0.020400,1.310,,,,1885,G V,5752.00,0.94,0.99,226.4567308,64.0476821
TOI-1899 b,TOI-1899,1,1,Transit,2020,128.4380000,29.02000000,0.158700,12.890,209.76780,0.118000,2.90,362,M0,3841.00,0.61,0.63,299.4268472,40.1433462
TOI-201 b,TOI-201,1,1,Transit,2021,113.8250000,52.97818000,0.300000,11.299,133.48860,0.280000,,759,F6 V,6394.00,1.32,1.32,87.4017825,-54.9104230
TOI-2025 b,TOI-2025,1,1,Transit,2022,335.9850000,8.87207800,0.092000,12.520,1398.44499,0.410000,,1167,,5880.00,1.56,1.32,282.7952558,82.2454143
TOI-2046 b,TOI-2046,1,1,Transit,2022,289.6680000,1.49718420,,16.141,731.00534,,,,F8 V,6250.00,1.21,1.13,16.1849423,74.3313055
TOI-2048 b,TOI-2048,1,1,Transit,2022,116.5670000,13.79019000,,2.060,,0.130000,,,G V,5185.00,0.79,0.83,237.9241066,52.3063083
TOI-206 b,TOI-206,1,1,Transit,2022,47.7465000,0.73631040,0.011200,1.300,,,,910,,3383.00,0.35,0.35,73.7382202,-62.5218740
TOI-2076 b,TOI-2076,1,3,Transit,2021,41.9091000,10.35509000,0.068200,2.518,,,84.06,797,,5200.00,0.77,0.82,217.3920159,39.7903991
TOI-2076 c,TOI-2076,1,3,Transit,2021,41.9091000,21.01538000,0.109300,3.497,,,32.70,630,,5200.00,0.77,0.82,217.3920159,39.7903991
TOI-2076 d,TOI-2076,1,3,Transit,2021,41.9091000,35.12537000,0.153900,3.232,,,16.50,530,,5200.00,0.77,0.82,217.3920159,39.7903991
TOI-2081 b,TOI-2081,1,1,Transit,2022,62.3446000,10.50534000,0.075200,2.040,,,8.10,488,M1.0,3800.00,0.53,0.54,264.3022634,53.0255666
TOI-2109 b,TOI-2109,1,1,Transit,2021,262.0410000,0.67247414,0.017910,15.098,1595.49860,,,3646,F,6540.00,1.70,1.45,253.1862971,16.5799153
TOI-2136 b,TOI-2136,1,1,Transit,2022,33.3631000,7.85192800,0.057000,2.190,6.37000,0.000000,4.00,395,M4.5 V,3342.00,0.34,0.34,281.1763433,36.5631318
TOI-2158 b,TOI-2158,1,1,Transit,2022,198.4730000,8.60077000,0.075000,10.761,260.61929,0.070000,,1188,,5673.00,1.41,1.12,276.8100527,20.5268868
TOI-216.01,TOI-216,1,2,Transit,2019,177.9450000,34.52552800,,10.100,177.98391,0.004600,,,,,0.75,0.77,73.9800129,-63.2603301
TOI-216.02,TOI-216,1,2,Transit,2019,177.9450000,17.16073000,,8.000,18.75188,0.160000,,,,,0.75,0.77,73.9800129,-63.2603301
TOI-2180 b,TOI-2180,1,1,Transit,2022,116.6850000,260.79000000,0.828000,11.321,875.61726,0.368300,2.71,348,G5,5695.00,1.64,1.11,277.9436300,56.6506789
TOI-2184 b,TOI-2184,1,1,Transit,2022,788.3170000,6.90683000,,11.400,206.58846,0.080000,1429.00,,,5966.00,2.90,1.53,100.8331246,-66.9476563
TOI-2193 A b,TOI-2193 A,2,1,Transit,2022,337.0640000,2.12257350,0.033190,19.840,298.75870,0.000000,1600.00,1763,,5966.00,1.25,1.08,313.6912320,-72.8046404
TOI-2196 b,TOI-2196,1,1,Transit,2022,259.9470000,1.19472680,0.022340,3.510,26.00000,0.000000,2000.00,1860,G V,5634.00,1.04,1.03,312.3400744,-70.4850723
TOI-220 b,TOI-220,1,1,Transit,2021,90.7402000,10.69526400,0.089110,3.030,13.80000,0.032000,,805,K0 V,5298.00,0.86,0.82,91.7996988,-61.9972098
TOI-2202 b,TOI-2202,1,2,Transit,2021,235.9330000,11.91010000,0.095640,11.321,310.83618,0.042000,,,K8 V,5144.00,0.79,0.82,51.2284214,-73.9575458
TOI-2207 b,TOI-2207,1,1,Transit,2022,373.3450000,8.00196800,0.085400,11.153,203.41018,0.174000,406.00,1259,,6101.00,1.56,1.30,307.5966925,-44.8876181
TOI-2236 b,TOI-2236,1,1,Transit,2022,355.5900000,3.53159020,0.050090,14.370,502.16888,0.000000,1356.00,1688,,6248.00,1.57,1.34,20.1660113,-86.9799650
TOI-2257 b,TOI-2257,1,1,Transit,2021,57.7911000,35.18934600,0.145000,2.194,,0.496000,,256,M3,3430.00,0.31,0.33,194.7396141,77.6617157
TOI-2260 b,TOI-2260,1,1,Transit,2022,101.2510000,0.35247280,0.009700,1.620,,,,2609,G V,5534.00,0.94,0.99,247.6669998,49.0467891
TOI-2285 b,TOI-2285,1,1,Transit,2021,42.4090000,27.26955000,0.136300,1.740,19.50000,0.300000,1.54,284,,3491.00,0.46,0.45,332.5632644,58.7060934
TOI-2337 b,TOI-2337,1,1,Transit,2022,536.0460000,2.99432000,,10.088,508.52545,0.019000,,,,4780.00,3.22,1.32,290.6198948,60.8539035
TOI-237 b,TOI-237,1,1,Transit,2020,38.0749000,5.43609800,0.034100,1.440,,0.000000,3.70,388,M4.5 V,3212.00,0.21,0.18,353.2435381,-29.4164870
TOI-2406 b,TOI-2406,1,1,Transit,2021,55.4190000,3.07668960,0.022800,2.940,,0.260000,6.55,447,M4 V,3100.00,0.20,0.16,8.8060544,-3.3720833
TOI-2411 b,TOI-2411,1,1,Transit,2022,59.5362000,0.78269420,0.014400,1.680,,,,1355,,4099.00,0.68,0.65,20.9224567,-8.7017944
TOI-2421 b,TOI-2421,1,1,Transit,2022,327.9270000,4.34740320,0.054300,10.368,105.83686,0.000000,923.60,1534,,5607.00,1.75,1.13,33.1540208,-35.3909182
TOI-2427 b,TOI-2427,1,1,Transit,2022,28.5147000,1.30600110,0.020200,1.800,,,,1117,,4072.00,0.65,0.64,52.2917315,-31.3628665
TOI-2445 b,TOI-2445,1,1,Transit,2022,48.5820000,0.37112810,0.006400,1.250,,,,1060,,3333.00,0.27,0.25,43.3161555,0.0523366
TOI-251 b,TOI-251,1,1,Transit,2021,99.5230000,4.93777000,0.057410,2.740,317.83000,0.000000,,,,5875.00,0.88,1.04,353.0620655,-37.2558629
TOI-2545 b,TOI-2545,1,1,Transit,2022,107.1180000,7.99403700,,2.750,,,,,,5846.29,1.25,1.05,135.5458029,-3.4208194
TOI-2567 b,TOI-2567,1,1,Transit,2022,504.7750000,5.98394400,0.067200,10.929,63.88351,0.000000,558.00,1352,,5611.00,1.69,1.13,288.4656683,66.3479375
TOI-257 b,TOI-257,1,1,Transit,2021,76.9028000,18.38818000,0.152800,7.163,43.86032,0.000000,186.00,1027,,6095.00,1.87,1.41,47.5172608,-50.8322632
TOI-2570 b,TOI-2570,1,1,Transit,2022,361.8570000,2.98876150,0.041450,13.641,260.61929,0.000000,699.00,1431,,5771.00,1.09,1.06,87.1880397,32.0840435
TOI-2669 b,TOI-2669,1,1,Transit,2022,393.4430000,6.20340000,,19.728,193.87533,0.090000,,,,4800.00,4.10,1.19,134.7226445,-13.3125792
TOI-269 b,TOI-269,1,1,Transit,2021,57.0225000,3.69771040,0.034500,2.770,8.80000,0.425000,19.00,531,M2 V,3514.00,0.40,0.39,75.8462827,-54.1777213
TOI-270 b,TOI-270,1,3,Transit,2019,22.4793000,3.36015380,0.031970,1.206,1.58000,0.034000,,581,M,3506.00,0.38,0.39,68.4160804,-51.9573937
TOI-270 c,TOI-270,1,3,Transit,2019,22.4793000,5.66057310,0.045260,2.355,6.15000,0.027000,,488,M,3506.00,0.38,0.39,68.4160804,-51.9573937
TOI-270 d,TOI-270,1,3,Transit,2019,22.4793000,11.37957300,0.072100,2.133,4.78000,0.032000,,387,M,3506.00,0.38,0.39,68.4160804,-51.9573937
TOI-277 b,TOI-277,1,1,Transit,2022,64.6692000,3.99400000,0.026900,2.650,,,,,,4031.00,0.36,0.16,19.0766985,-20.9532772
TOI-3331 A b,TOI-3331 A,2,1,Transit,2022,217.1930000,2.01802310,0.031440,12.980,721.47048,0.000000,818.50,1488,,5609.00,0.95,1.02,271.3241672,-34.1071710
TOI-3362 b,TOI-3362,1,1,Transit,2021,366.9870000,18.09547000,0.153000,12.801,1598.35906,0.815000,,,,6532.00,1.83,1.45,155.9841428,-56.8431169
TOI-3540 A b,TOI-3540 A,2,1,Transit,2022,,3.11999900,0.042890,23.539,375.03752,0.000000,841.30,1498,,5810.00,1.23,1.08,328.9113712,28.1794996
TOI-3629 b,TOI-3629,1,1,Transit,2022,130.0910000,3.93655100,0.043000,8.295,82.63539,0.050000,39.00,690,M1,3870.00,0.60,0.63,359.7933851,39.3142556
TOI-3693 b,TOI-3693,1,1,Transit,2022,176.4360000,9.08851600,0.081300,12.599,324.18498,0.000000,68.60,801,,5321.00,0.79,0.87,15.6543938,51.3038918
TOI-3714 b,TOI-3714,2,1,Transit,2022,112.7100000,2.15484900,0.027000,11.321,222.47988,0.030000,54.00,750,M2,3660.00,0.51,0.53,69.5523415,39.4580035
TOI-3757 b,TOI-3757,1,1,Transit,2022,181.1390000,3.43875300,0.038450,12.000,85.30000,0.140000,55.40,759,M0 V,3913.00,0.62,0.64,91.0036423,55.0199793
TOI-3884 b,TOI-3884,1,1,Transit,2022,43.1448000,4.54456970,0.035400,6.000,16.50000,0.320000,7.42,463,M4,3269.00,0.30,0.28,181.5718341,12.5070258
TOI-411 b,TOI-411,1,2,Transit,2022,62.7792000,4.04030100,0.052800,1.720,,0.126000,,1378,F7/F8V,6040.00,1.16,1.10,54.8195380,-42.7630276
TOI-411 c,TOI-411,1,2,Transit,2022,62.7792000,9.57309600,0.093900,2.740,,0.160000,,1033,F7/F8V,6040.00,1.16,1.10,54.8195380,-42.7630276
TOI-4137 b,TOI-4137,1,1,Transit,2022,334.9930000,3.80161220,0.052220,13.574,457.67291,0.000000,1013.00,1570,,6202.00,1.44,1.31,77.6128790,70.3910790
TOI-421 b,TOI-421,2,2,Transit,2020,74.7969000,5.19672000,0.056000,2.680,7.17000,0.163000,154.57,981,G9 V,5325.00,0.87,0.85,81.8532824,-14.2767404
TOI-421 c,TOI-421,2,2,Transit,2020,74.7969000,16.06819000,0.118900,5.090,16.42000,0.152000,34.32,674,G9 V,5325.00,0.87,0.85,81.8532824,-14.2767404
TOI-431 b,TOI-431,1,3,Transit,2021,32.5686000,0.49004700,0.011300,1.280,3.07000,0.000000,,1862,,4850.00,0.73,0.78,83.2692502,-26.7238698
TOI-431 c,TOI-431,1,3,Radial Velocity,2021,32.5686000,4.84940000,0.052000,,,0.000000,,867,,4850.00,0.73,0.78,83.2692502,-26.7238698
TOI-431 d,TOI-431,1,3,Transit,2021,32.5686000,12.46103000,0.098000,3.290,9.90000,0.000000,,633,,4850.00,0.73,0.78,83.2692502,-26.7238698
TOI-4329 b,TOI-4329,1,1,Transit,2022,717.1280000,2.92230000,,16.813,143.02278,0.068000,,,,6000.00,2.31,1.54,329.5639152,71.1316048
TOI-4479 b,TOI-4479,1,1,Transit,2022,80.6532000,1.15890000,0.016400,2.820,,,92.50,861,M3.0,3400.00,0.45,0.45,316.0969388,24.6536739
TOI-451 b,TOI-451,2,3,Transit,2020,123.7390000,1.85870300,0.028300,1.910,,0.000000,,1491,,5550.00,0.88,0.95,62.9663850,-37.9397300
TOI-451 c,TOI-451,2,3,Transit,2020,123.7390000,9.19252200,0.082300,3.100,,0.000000,,875,,5550.00,0.88,0.95,62.9663850,-37.9397300
TOI-451 d,TOI-451,2,3,Transit,2020,123.7390000,16.36498800,0.120800,4.070,,0.000000,,722,,5550.00,0.88,0.95,62.9663850,-37.9397300
TOI-481 b,TOI-481,1,1,Transit,2020,179.3660000,10.33111000,0.097000,11.097,486.27990,0.153000,,1370,G,5735.00,1.66,1.14,110.5126861,-57.3849980
TOI-500 b,TOI-500,1,4,Transit,2022,47.3924000,0.54817700,0.011890,1.166,1.42000,0.063000,1138.00,1617,K6 V,4440.00,0.68,0.74,106.5590980,-47.5878156
TOI-5153 b,TOI-5153,1,1,Transit,2022,390.4840000,20.33003000,0.158000,11.882,1036.12061,0.091000,,906,F8 V,6300.00,1.40,1.24,91.5403204,-19.9534443
TOI-5174 b,TOI-5174,1,1,Transit,2022,197.2430000,12.21428600,,5.351,,,,,,5643.77,1.09,1.00,174.1094967,-2.0233506
TOI-519 b,TOI-519,1,1,Transit,2021,115.5570000,1.26523280,0.012000,11.994,4449.62000,,,760,M3.5,3350.00,0.37,0.37,124.6067582,-19.6627918
TOI-5238 b,TOI-5238,1,1,Transit,2022,290.6460000,4.87217100,,5.220,,,,,,5631.00,1.02,1.00,223.3588909,68.8594720
TOI-530 b,TOI-530,1,1,Transit,2021,148.7620000,6.38759700,0.052000,9.303,127.13136,0.000000,,565,M0.5 V,3659.00,0.54,0.53,103.4128333,12.8815784
TOI-532 b,TOI-532,1,1,Transit,2021,135.0470000,2.32665080,0.029600,5.820,61.50000,0.000000,94.10,867,,3927.00,0.61,0.64,85.0800537,11.5626373
TOI-5398 b,TOI-5398,1,1,Transit,2022,130.8550000,10.59092300,,11.657,,,,,,6017.10,1.05,1.11,161.8795569,36.3294345
TOI-540 b,TOI-540,1,1,Transit,2020,14.0022000,1.23914910,0.012230,0.903,,0.000000,23.40,611,M V,3216.00,0.19,0.16,76.3096949,-47.9375391
TOI-544 b,TOI-544,1,1,Transit,2022,41.1166000,1.54835100,0.025100,2.030,,,,1082,,4369.00,0.66,0.85,82.2900716,-0.3428983
TOI-5542 b,TOI-5542,1,1,Transit,2022,348.8490000,75.12375000,0.332000,11.310,419.53350,0.018000,9.60,441,G3 V,5700.00,1.06,0.89,302.7984228,-61.1354659
TOI-558 b,TOI-558,1,1,Transit,2021,402.6300000,14.57407100,0.129100,12.173,1147.36055,0.298000,,1061,F V,6466.00,1.50,1.35,42.2915093,-58.0246828
TOI-559 b,TOI-559,1,1,Transit,2021,233.2660000,6.98390950,0.072300,12.229,1910.14873,0.151000,,1180,G V,5925.00,1.23,1.03,46.8186159,-31.1629951
TOI-561 b,TOI-561,1,5,Transit,2020,85.7990000,0.44657800,0.010550,1.423,1.59000,0.000000,,,G9 V,5455.00,0.85,0.79,148.1851516,6.2161030
TOI-561 c,TOI-561,1,5,Transit,2020,85.7990000,10.77900000,0.088090,2.878,5.40000,0.060000,,,G9 V,5455.00,0.85,0.79,148.1851516,6.2161030
TOI-561 d,TOI-561,1,5,Transit,2020,85.7990000,25.62000000,0.156900,2.530,11.95000,0.051000,,,G9 V,5455.00,0.85,0.79,148.1851516,6.2161030
TOI-561 e,TOI-561,1,5,Transit,2020,85.7990000,77.23000000,0.327400,2.670,16.00000,0.061000,,,G9 V,5455.00,0.85,0.79,148.1851516,6.2161030
TOI-561 f,TOI-561,1,5,Transit,2020,85.7990000,16.28700000,0.117400,2.320,3.00000,0.000000,,750,,5326.00,0.83,0.81,148.1851516,6.2161030
TOI-564 b,TOI-564,1,1,Transit,2020,199.5810000,1.65114400,0.027340,11.433,464.98529,0.072000,1423.00,1714,,5640.00,1.09,1.00,130.2951535,-16.0363275
TOI-620 b,TOI-620,1,1,Transit,2022,33.0231000,5.09881790,0.048250,3.760,,0.220000,20.80,604,M2.5 V,3708.00,0.55,0.58,142.1734459,-12.1671652
TOI-628 b,TOI-628,1,1,Transit,2021,178.6800000,3.40956750,0.048600,11.882,2011.86390,0.072000,,1586,,6250.00,1.34,1.31,99.2630608,1.7675497
TOI-640 b,TOI-640,1,1,Transit,2021,341.9970000,5.00377750,0.066080,19.851,279.69040,0.050000,,1749,,6460.00,2.08,1.54,99.7345935,-36.6461300
TOI-674 b,TOI-674,1,1,Transit,2021,46.0851000,1.97714300,0.025000,5.250,23.60000,0.000000,38.40,635,M2 V,3514.00,0.42,0.42,164.5865592,-36.8581092
TOI-677 b,TOI-677,1,1,Transit,2020,141.8120000,11.23660000,0.103800,13.115,392.83788,0.435000,,1252,F8,6295.00,1.28,1.18,144.1193594,-50.4630933
TOI-700 b,TOI-700,1,3,Transit,2020,31.1265000,9.97702000,0.067700,1.037,,0.081000,5.00,417,,3461.00,0.42,0.41,97.0957165,-65.5786149
TOI-700 c,TOI-700,1,3,Transit,2020,31.1265000,16.05111000,0.092900,2.650,,0.078000,2.66,356,,3461.00,0.42,0.41,97.0957165,-65.5786149
TOI-700 d,TOI-700,1,3,Transit,2020,31.1265000,37.42475000,0.163300,1.144,,0.111000,0.85,269,,3461.00,0.42,0.41,97.0957165,-65.5786149
TOI-712 b,TOI-712,1,3,Transit,2022,58.6212000,9.53136100,0.079280,2.049,,0.540000,22.60,650,K4.5 V,4622.00,0.67,0.73,92.9361063,-65.8258386
TOI-712 c,TOI-712,1,3,Transit,2022,58.6212000,51.69906000,0.244700,2.701,,0.089000,3.08,370,K4.5 V,4622.00,0.67,0.73,92.9361063,-65.8258386
TOI-712 d,TOI-712,1,3,Transit,2022,58.6212000,84.83960000,0.340500,2.474,,0.073000,1.60,314,K4.5 V,4622.00,0.67,0.73,92.9361063,-65.8258386
TOI-763 b,TOI-763,1,2,Transit,2020,95.1274000,5.60570000,0.060000,2.280,9.79000,0.040000,,1038,G,5450.00,0.90,0.92,194.4680980,-39.7580613
TOI-763 c,TOI-763,1,2,Transit,2020,95.1274000,12.27370000,0.101100,2.630,9.32000,0.040000,,800,G,5450.00,0.90,0.92,194.4680980,-39.7580613
TOI-776 b,TOI-776,1,2,Transit,2020,27.1701000,8.24661000,0.065200,1.850,4.00000,0.060000,11.50,514,M1 V,3709.00,0.54,0.54,178.5779970,-37.5533568
TOI-776 c,TOI-776,1,2,Transit,2020,27.1701000,15.66530000,0.100000,2.020,5.30000,0.040000,4.90,415,M1 V,3709.00,0.54,0.54,178.5779970,-37.5533568
TOI-813 b,TOI-813,1,1,Transit,2020,263.1450000,83.89110000,0.423000,6.710,,0.000000,23.10,610,G0 IV,5907.00,1.94,1.32,72.6940102,-60.9054608
TOI-824 b,TOI-824,1,1,Transit,2020,63.9262000,1.39297800,0.021770,2.926,18.46700,,412.00,1253,K4 V,4600.00,0.69,0.71,222.1654705,-57.5888666
TOI-833 b,TOI-833,1,1,Transit,2022,41.7148000,1.04187770,0.017100,1.270,,,,1118,,3920.00,0.60,0.61,145.6454720,-62.4758857
TOI-837 b,TOI-837,1,1,Transit,2020,142.4880000,8.32487620,,8.631,,0.000000,,,G0/F9 V,6047.00,1.02,1.12,157.0372806,-64.5052107
TOI-849 b,TOI-849,1,1,Transit,2020,225.7340000,0.76552414,0.015980,3.444,39.09000,0.000000,,,G,5373.80,0.92,0.93,28.7157956,-29.4217086
TOI-892 b,TOI-892,1,1,Transit,2020,340.5430000,10.62656000,0.092000,11.994,301.93850,0.125000,,1397,F,6261.00,1.39,1.28,86.7382280,-11.2353401
TOI-905 b,TOI-905,1,1,Transit,2020,158.6490000,3.73949400,0.046660,13.126,211.99261,0.024000,337.00,1192,,5570.00,0.92,0.97,227.6586754,-71.3616316
TOI-942 b,TOI-942,3,2,Transit,2020,152.6010000,4.32419000,0.047960,4.810,826.35800,0.000000,,,,4928.00,1.02,0.79,76.6496172,-20.2456126
TOI-942 c,TOI-942,3,2,Transit,2020,152.6010000,10.15643000,0.084700,5.790,794.57500,0.000000,,,,4928.00,1.02,0.79,76.6496172,-20.2456126
TOI-954 b,TOI-954,1,1,Transit,2020,238.7680000,3.68497290,0.049630,9.550,55.30242,0.140000,1393.00,1526,,5710.00,1.89,1.20,61.9410587,-25.2088028
TOI-969 b,TOI-969,1,2,Transit,2022,77.2554000,1.82373050,0.026360,2.765,9.10000,,188.00,941,K V,4435.00,0.67,0.73,115.1366858,2.0985879
WASP-126 c,WASP-126,1,2,Transit Timing Variations,2019,216.5260000,7.63000000,,,64.20000,0.050000,,,,5800.00,1.27,1.12,63.3747060,-69.2265926
WASP-132 c,WASP-132,1,2,Transit,2022,122.9100000,1.01153400,0.018200,1.850,37.35000,0.130000,,,K4,4714.00,0.75,0.78,217.6091998,-46.1595160
WASP-18 c,WASP-18,2,2,Transit Timing Variations,2019,123.4830000,2.15580000,0.035000,,55.20000,0.015000,,,,6400.00,1.23,1.22,24.3544618,-45.6777937
WD 1856+534 b,WD 1856+534,3,1,Transit,2020,24.7359000,1.40794050,0.020400,10.400,4386.05400,0.000000,0.18,163,,4710.00,0.01,0.52,284.4156750,53.5090244
pi Men c,HD 39091,1,3,Transit,2018,18.2702000,6.26790772,0.068647,,,0.076939,,,,,,1.10,84.2992798,-80.4646041
